Arquivo,Tamanho original (bits),Tamanho comprimido (bits),Tamanho Dicionário,Qtd de bits por código,Taxa de compressão,Tempo de compressão (ms),Tempo Relativo (ms/kB)
ex (1).txt,144,144,271,9,1.0,0.421227,23.963136000000002
ex (1).txt,144,144,271,9,1.0,0.33242,18.911004444444444
ex (1).txt,144,144,271,9,1.0,0.983119,55.928547555555554
ex (1).txt,144,144,271,9,1.0,0.363589,20.68417422222222
ex (1).txt,144,144,271,9,1.0,0.293871,16.717994666666666
ex (1).txt,144,144,271,9,1.0,0.295811,16.828359111111112
ex (1).txt,144,144,271,9,1.0,0.293191,16.67931022222222
ex (1).txt,144,144,271,9,1.0,0.28954,16.47160888888889
ex (1).txt,144,144,271,9,1.0,0.332359,18.907534222222225
ex (1).txt,144,144,271,9,1.0,0.32512,18.495715555555556
ex (1).txt,144,144,271,9,1.0,0.29473,16.766862222222223
ex (1).txt,144,144,271,9,1.0,0.30209,17.185564444444445
ex (1).txt,144,144,271,9,1.0,0.290891,16.54846577777778
ex (1).txt,144,144,271,9,1.0,0.290501,16.526279111111112
ex (1).txt,144,144,271,9,1.0,0.31235,17.769244444444446
ex (1).txt,144,144,271,9,1.0,0.294631,16.76123022222222
ex (1).txt,144,144,271,9,1.0,0.294221,16.73790577777778
ex (1).txt,144,144,271,9,1.0,0.294341,16.744732444444445
ex (1).txt,144,144,271,9,1.0,0.370848,21.09713066666667
ex (1).txt,144,144,271,9,1.0,0.300791,17.111665777777777
ex (2).txt,93944,36336,3283,12,2.5854249229414354,48.311475,4.212803406284595
ex (2).txt,93944,36336,3283,12,2.5854249229414354,51.231582,4.467439322830622
ex (2).txt,93944,36336,3283,12,2.5854249229414354,49.671858,4.331430008686025
ex (2).txt,93944,36336,3283,12,2.5854249229414354,51.380493,4.480424493911267
ex (2).txt,93944,36336,3283,12,2.5854249229414354,47.987965,4.1845930477731414
ex (2).txt,93944,36336,3283,12,2.5854249229414354,65.70974,5.729947522779528
ex (2).txt,93944,36336,3283,12,2.5854249229414354,51.467085,4.4879753930000845
ex (2).txt,93944,36336,3283,12,2.5854249229414354,49.526107,4.318720392403986
ex (2).txt,93944,36336,3283,12,2.5854249229414354,56.226188,4.902973389423487
ex (2).txt,93944,36336,3283,12,2.5854249229414354,48.838534,4.258763417865963
ex (2).txt,93944,36336,3283,12,2.5854249229414354,59.536606,5.1916447708422035
ex (2).txt,93944,36336,3283,12,2.5854249229414354,51.245624,4.468663797666695
ex (2).txt,93944,36336,3283,12,2.5854249229414354,50.430165,4.397555050668483
ex (2).txt,93944,36336,3283,12,2.5854249229414354,53.55974,4.670456762326492
ex (2).txt,93944,36336,3283,12,2.5854249229414354,47.494669,4.141577199693435
ex (2).txt,93944,36336,3283,12,2.5854249229414354,65.257262,5.690491040449629
ex (2).txt,93944,36336,3283,12,2.5854249229414354,51.129237,4.458514748190412
ex (2).txt,93944,36336,3283,12,2.5854249229414354,55.370643,4.82836910772375
ex (2).txt,93944,36336,3283,12,2.5854249229414354,62.755672,5.472350176956485
ex (2).txt,93944,36336,3283,12,2.5854249229414354,51.759708,4.513492377756962
ex (3).txt,71768,40092,3596,12,1.7900828095380625,36.740512,4.193767059190726
ex (3).txt,71768,40092,3596,12,1.7900828095380625,31.775135,3.62699122059971
ex (3).txt,71768,40092,3596,12,1.7900828095380625,33.928508,3.8727892310779177
ex (3).txt,71768,40092,3596,12,1.7900828095380625,34.066216,3.888507990636495
ex (3).txt,71768,40092,3596,12,1.7900828095380625,48.935378,5.58575711425705
ex (3).txt,71768,40092,3596,12,1.7900828095380625,35.413554,4.042300668375877
ex (3).txt,71768,40092,3596,12,1.7900828095380625,32.189599,3.674300454352915
ex (3).txt,71768,40092,3596,12,1.7900828095380625,31.673038,3.615337299297737
ex (3).txt,71768,40092,3596,12,1.7900828095380625,32.199432,3.67542284784305
ex (3).txt,71768,40092,3596,12,1.7900828095380625,34.978595,3.992652020956415
ex (3).txt,71768,40092,3596,12,1.7900828095380625,36.727479,4.192279399843942
ex (3).txt,71768,40092,3596,12,1.7900828095380625,39.124328,4.465869119607625
ex (3).txt,71768,40092,3596,12,1.7900828095380625,34.51859,3.9401444833351915
ex (3).txt,71768,40092,3596,12,1.7900828095380625,50.001666,5.707469176680415
ex (3).txt,71768,40092,3596,12,1.7900828095380625,33.397616,3.8121902557128524
ex (3).txt,71768,40092,3596,12,1.7900828095380625,32.458646,3.7050109802697584
ex (3).txt,71768,40092,3596,12,1.7900828095380625,31.771168,3.6265384050830454
ex (3).txt,71768,40092,3596,12,1.7900828095380625,35.023193,3.997742685542303
ex (3).txt,71768,40092,3596,12,1.7900828095380625,31.772918,3.6267381598484003
ex (3).txt,71768,40092,3596,12,1.7900828095380625,32.815585,3.745753989521792
ex (4).txt,16416,1377,408,9,11.92156862745098,13.513721,6.743689231968811
ex (4).txt,16416,1377,408,9,11.92156862745098,13.947618,6.960214830409357
ex (4).txt,16416,1377,408,9,11.92156862745098,13.493161,6.733429270955166
ex (4).txt,16416,1377,408,9,11.92156862745098,13.794832,6.883970744639376
ex (4).txt,16416,1377,408,9,11.92156862745098,13.961286,6.96703550877193
ex (4).txt,16416,1377,408,9,11.92156862745098,13.971166,6.9719658791423
ex (4).txt,16416,1377,408,9,11.92156862745098,13.679137,6.826236007797271
ex (4).txt,16416,1377,408,9,11.92156862745098,13.889858,6.931391126705653
ex (4).txt,16416,1377,408,9,11.92156862745098,16.258022,8.11316497465887
ex (4).txt,16416,1377,408,9,11.92156862745098,14.250553,7.1113870721247565
